Master ID,Legacy IDs,Domain,Subsystem,Finding Title,Severity,Status,Root Cause,Verification Required
GF-MASTER-0001,GF-AUD-007,Study,Contingency,Contingency result consumer incompatible with PowerFlowResult,CRITICAL,OPEN,Result vocabulary mismatch,Yes
GF-MASTER-0002,GF-AUD-005,Study,Contingency,Bus outage semantics require topology reconciliation,HIGH,OPEN,Current executable semantics not proven,Yes
GF-MASTER-0003,GF-AUD-006,Core,Endpoint-Topology,Contingency endpoint fallback semantics not proven canonical,HIGH,OPEN,Defensive fallback versus canonical endpoint contract,Yes
GF-MASTER-0004,GF-AUD-014,SLD,Semantic presentation,SLD vocabulary exceeds current renderer coverage,HIGH,OPEN,Projection types exceed deliberate semantic representations,Yes
GF-MASTER-0005,GF-AUD-012|GF-DOC-A1,Documentation,Architecture-audit,Documentation and audit-state drift,MEDIUM,OPEN,Historical notes retain superseded state,Yes
GF-MASTER-0006,RS-005|RS-006|RS-013|RS-015|RS-017,Runtime,Packaging,Runtime dependency and packaging authority fragmentation,HIGH,OPEN,Historical ad-hoc dependency contract lacks execution proof,Yes
GF-MASTER-0007,RS-007|RS-014|RS-019|RS-020,Runtime,CI-startup,Startup CI coverage not proven by successful run,HIGH,OPEN,Workflow exists without successful execution evidence,Yes
GF-MASTER-0008,RS-008|RS-016,Runtime,Startup,Current-main startup unverified,CRITICAL,OPEN,No successful import or bootstrap evidence,Yes
GF-MASTER-0009,RS-009,Runtime,Source integrity,Historical Markdown-fence finding is superseded by current repository structure,CRITICAL,RECLASSIFIED,The historical state_vector.py artifact referenced by RS-009 is absent from current main; the current dynamics package uses machine_models.py and does not expose the previously cited broken import path,Yes
GF-MASTER-0010,RS-018,Runtime,CI integrity,CI source-repair workaround removed,HIGH,STATIC CLOSED,Workflow no longer rewrites source,No
GF-MASTER-0011,,Dynamics,Public API,Historical DynamicStateVector import defect is not present in current main,HIGH,OPEN,Current main contains no core/solver/dynamics/state_vector.py; the finding is based on stale source evidence and is therefore reconciled into the documentation/audit-state drift cluster rather than treated as a live production defect,Yes
GF-MASTER-0012,,Dynamics,Package exports,Historical DynamicState package-export defect is not present in current main,HIGH,OPEN,Current core/solver/dynamics/__init__.py exports the implemented Classical machine and transient solver symbols and does not export the cited obsolete DynamicState; stale register evidence caused the finding,Yes
GF-MASTER-0013,historical Dynamics API reconciliation; commit 30010462...,Dynamics,Public API migration,Dynamics public symbols underwent incompatible contract migration,HIGH,OPEN,Legacy symbol names and newer implementations evolved across package exports,Yes
GF-MASTER-0014,historical Dynamics initial-state audit,Dynamics,Initialization,Initial-state bridge may derive electrical operating-point power from mechanical input rather than authoritative solved power,HIGH,OPEN,Preparation boundary exists but operating-point semantics require reconciliation,Yes
GF-MASTER-0015,GF-AUD-019|GF-AUD-WS-019,Dynamics,Transient coupling,Canonical transient algebraic network coupling not proven,CRITICAL,OPEN,Required coupling contract unresolved,Yes
GF-MASTER-0016,GF-AUD-WS-003|GF-AUD-WS-004|GF-AUD-WS-005|GF-AUD-WS-006|GF-AUD-WS-008|GF-AUD-WS-009,UI,Workspace-lifecycle,Workspace project UI composition source-remediated but unverified,HIGH,REMEDIATED — VERIFICATION DEFERRED,Runtime GUI lifecycle not executed,Yes
GF-MASTER-0017,GF-AUD-065|GF-AUD-069,UI,Workspace consumers,Workspace consumer coverage inconclusive,MEDIUM,OPEN,Indexed search insufficient,Yes
GF-MASTER-0018,GF-AUD-066|GF-AUD-068,UI,Panel placement,Panel placement metadata duplicated Workspace authority,HIGH,OPEN,Panel metadata carried placement-like state,Yes
GF-MASTER-0019,GF-AUD-071,UI,PanelsPlugin,PanelsPlugin direct docking ownership conflict,HIGH,OPEN,Plugin crossed into workspace realization,Yes
GF-MASTER-0020,GF-AUD-072,UI,Plugin lifecycle,Plugin composition and shutdown handoff incomplete,HIGH,OPEN,Static lifecycle contract lacks execution proof,Yes
GF-MASTER-0021,GF-AUD-003|GF-EDM-049|GF-EDM-050|GF-EDM-063|GF-EDM-064|GF-EDM-065,Study,Power Flow,Prepared PF boundary needs runtime and immutability proof,HIGH,OPEN,Live Network preparation and nested mutability remain concerns,Yes
GF-MASTER-0022,GF-EDM-001–019,Core,Engineering data,Engineering-data findings require study-by-study reconciliation,HIGH,OPEN,Broad historical findings not fully consumer-verified,Yes
GF-MASTER-0023,GF-AUD-212|GF-AUD-217|GF-AUD-218|GF-AUD-220,Core,Transformer,Transformer impedance basis conversion and persistence incomplete,HIGH,OPEN,Explicit basis exists but conversion and round-trip proof absent,Yes
